image_path,caption_en,caption_ne
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/1.jpg,"A woman wearing a red and white sari. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","एक महिलाले रातो र सेतो साड़ी लगाउँछिन्। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक हो। यो लिम्बू महिलाहरूले चासोक ताङनाम जस्ता चाडहरूमा र सांस्कृतिक समारोहहरूमा लगाउँदछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/10.jpg,"A woman in a red and black dress. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","रातो र कालो पोशाकमा महिला। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक ताङनाम जस्ता चाडहरूमा र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/100.jpg,"A man and woman sitting next to each other people. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","एक पुरुष र एक महिला एक अर्काको छेउमा बसिरहेका छन्। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक ताङनाम र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/100_aug1.jpg,"A man and woman sitting next to each other people. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","एक पुरुष र एक महिला एक अर्काको छेउमा बसिरहेका छन्। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक ताङनाम र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/100_aug2.jpg,"A man and woman sitting next to each other people. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","एक पुरुष र एक महिला एक अर्काको छेउमा बसिरहेका छन्। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक ताङनाम र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/101.jpg,"A group of women in traditional dress. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","परम्परागत पोशाकमा महिलाहरूको समूह। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक तांगनाम जस्ता चाडहरूमा र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/101_aug1.jpg,"A group of women in traditional dress. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","परम्परागत पोशाकमा महिलाहरूको समूह। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक तांगनाम जस्ता चाडहरूमा र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/101_aug2.jpg,"A group of women in traditional dress. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","परम्परागत पोशाकमा महिलाहरूको समूह। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो लिम्बू महिलाहरूले चासोक तांगनाम जस्ता चाडहरूमा र सांस्कृतिक समारोहहरूमा लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/102.jpg,"Two tibetan women in front of the tibetan flag - stock image. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","तिब्बती झण्डाको अगाडि दुई तिब्बती महिलाहरू - स्टक छवि। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो चासोक टंगनाम र सांस्कृतिक समारोहहरूमा लिम्बू महिलाहरूले लगाउँछन्।"
nepali_dresses_augmented/limbu_dress_mekhli_and_chaubandi/102_aug1.jpg,"Two tibetan women in front of the tibetan flag - stock image. This is the Mekhli and Chaubandi, the traditional attire of the Limbu community of Nepal. It is worn by Limbu women during festivals such as Chasok Tangnam and cultural ceremonies.","तिब्बती झण्डाको अगाडि दुई तिब्बती महिलाहरू - स्टक छवि। यो मेखली र चौबन्दी हो, नेपालको लिम्बू समुदायको परम्परागत पोशाक। यो चासोक टंगनाम र सांस्कृतिक समारोहहरूमा लिम्बू महिलाहरूले लगाउँछन्।"
