image_path,caption_en,caption_ne
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/1.jpg,"A couple dressed in traditional korean costumes. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","एक जोडीले परम्परागत कोरियाली पोशाकमा लुगा लगाएका छन्। यो Chuba / Bakkhu हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक हो। यो न्यानो लुगा लुगा लगाउने लुगा हिमालय क्षेत्रमा लोसार जस्ता चाडहरूमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/10.jpg,"A young boy in traditional clothing at a market. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","एक युवा बजारमा परम्परागत कपडामा। यो Chuba / Bakkhu हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लुगा लगाउने लुगा लोसर जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/100.jpg,"A group of people dressed in traditional clothing. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.",नेपालको शेर्पा समुदायको परम्परागत पोशाक चुबा / बखू हो। यो न्यानो लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लु
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/100_aug1.jpg,"A group of people dressed in traditional clothing. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.",नेपालको शेर्पा समुदायको परम्परागत पोशाक चुबा / बखू हो। यो न्यानो लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लु
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/100_aug2.jpg,"A group of people dressed in traditional clothing. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.",नेपालको शेर्पा समुदायको परम्परागत पोशाक चुबा / बखू हो। यो न्यानो लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लु
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/100_aug3.jpg,"A group of people dressed in traditional clothing. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.",नेपालको शेर्पा समुदायको परम्परागत पोशाक चुबा / बखू हो। यो न्यानो लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लुगा लु
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/101.jpg,"Two women in traditional clothing sitting on a stone wall - stock image. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","दुई महिला परम्परागत कपडामा ढुङ्गाको पर्खालमा बसिरहेका छन् - स्टक छवि। यो Chuba / Bakkhu हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक ल्होसार जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/101_aug1.jpg,"Two women in traditional clothing sitting on a stone wall - stock image. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","दुई महिला परम्परागत कपडामा ढुङ्गाको पर्खालमा बसिरहेका छन् - स्टक छवि। यो Chuba / Bakkhu हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक ल्होसार जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/101_aug2.jpg,"Two women in traditional clothing sitting on a stone wall - stock image. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","दुई महिला परम्परागत कपडामा ढुङ्गाको पर्खालमा बसिरहेका छन् - स्टक छवि। यो Chuba / Bakkhu हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक ल्होसार जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/101_aug3.jpg,"Two women in traditional clothing sitting on a stone wall - stock image. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","दुई महिला परम्परागत कपडामा ढुङ्गाको पर्खालमा बसिरहेका छन् - स्टक छवि। यो Chuba / Bakkhu हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक ल्होसार जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/102.jpg,"A woman in traditional dress and headdres at the annual festival in the city center of santiago - stock. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","सान्तियागोको शहरको केन्द्रमा वार्षिक महोत्सवमा परम्परागत पोशाक र हेड्रेसमा एक महिला - स्टक। यो चुबा / बखू हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक लोसर जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/102_aug1.jpg,"A woman in traditional dress and headdres at the annual festival in the city center of santiago - stock. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","सान्तियागोको शहरको केन्द्रमा वार्षिक महोत्सवमा परम्परागत पोशाक र हेड्रेसमा एक महिला - स्टक। यो चुबा / बखू हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक लोसर जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/102_aug2.jpg,"A woman in traditional dress and headdres at the annual festival in the city center of santiago - stock. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","सान्तियागोको शहरको केन्द्रमा वार्षिक महोत्सवमा परम्परागत पोशाक र हेड्रेसमा एक महिला - स्टक। यो चुबा / बखू हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक लोसर जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
nepali_dresses_augmented/sherpa_dress_chuba_bakkhu/102_aug3.jpg,"A woman in traditional dress and headdres at the annual festival in the city center of santiago - stock. This is the Chuba / Bakkhu, the traditional attire of the Sherpa community of Nepal. This warm wrap-around dress is worn in the Himalayan region during festivals such as Lhosar.","सान्तियागोको शहरको केन्द्रमा वार्षिक महोत्सवमा परम्परागत पोशाक र हेड्रेसमा एक महिला - स्टक। यो चुबा / बखू हो, नेपालको शेर्पा समुदायको परम्परागत पोशाक। यो न्यानो लुगा लगाउने पोशाक लोसर जस्ता पर्वहरूमा हिमालय क्षेत्रमा लगाइन्छ।"
