image_path,caption_en,caption_ne
nepali_dresses_augmented/haku_patasi/1.jpg,"A woman in a black and red sari. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",नेपालको नेवार समुदायको परम्परागत पोशाक हकु पातासी हो। यो रातो सिमानाको साथ कालो साड़ी पर्व र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।
nepali_dresses_augmented/haku_patasi/10.jpg,"A little girl in a black and red dress. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",नेपालको नेवार समुदायको परम्परागत पोशाक हकु पातासी हो। यो रातो सिमानाको साथ कालो साड़ी पर्व र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।
nepali_dresses_augmented/haku_patasi/100.jpg,"A group of women dressed in traditional red and black outfits carrying bells. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.","एक समूह महिलाहरु परम्परागत रातो र कालो पोशाक लगाएर घण्टीहरु बोक्ने. यो Haku Patasi हो, नेपालको Newar समुदायको परम्परागत पोशाक। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा Newari महिलाहरु द्वारा लगाइन्छ।"
nepali_dresses_augmented/haku_patasi/100_aug1.jpg,"A group of women dressed in traditional red and black outfits carrying bells. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.","एक समूह महिलाहरु परम्परागत रातो र कालो पोशाक लगाएर घण्टीहरु बोक्ने. यो Haku Patasi हो, नेपालको Newar समुदायको परम्परागत पोशाक। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा Newari महिलाहरु द्वारा लगाइन्छ।"
nepali_dresses_augmented/haku_patasi/100_aug2.jpg,"A group of women dressed in traditional red and black outfits carrying bells. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.","एक समूह महिलाहरु परम्परागत रातो र कालो पोशाक लगाएर घण्टीहरु बोक्ने. यो Haku Patasi हो, नेपालको Newar समुदायको परम्परागत पोशाक। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा Newari महिलाहरु द्वारा लगाइन्छ।"
nepali_dresses_augmented/haku_patasi/101.jpg,"A group of women in traditional dress walking down the street. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.","परम्परागत पोशाकमा सडकमा हिड्ने महिलाहरूको समूह। यो हकु पातासी हो, नेपालको नेवार समुदायको परम्परागत पोशाक। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।"
nepali_dresses_augmented/haku_patasi/101_aug1.jpg,"A group of women in traditional dress walking down the street. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.","परम्परागत पोशाकमा सडकमा हिड्ने महिलाहरूको समूह। यो हकु पातासी हो, नेपालको नेवार समुदायको परम्परागत पोशाक। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।"
nepali_dresses_augmented/haku_patasi/101_aug2.jpg,"A group of women in traditional dress walking down the street. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.","परम्परागत पोशाकमा सडकमा हिड्ने महिलाहरूको समूह। यो हकु पातासी हो, नेपालको नेवार समुदायको परम्परागत पोशाक। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।"
nepali_dresses_augmented/haku_patasi/102.jpg,"A group of women in red and white sars are dancing with their hands up to the camera - stock. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",नेपालको नेवार समुदायको परम्परागत पोशाक हकु पाटसी हो । रातो र सेतो सरस लगाएका महिलाहरूको समूहले क्यामेरा स्टकमा हात राखेर नाच्दैछन् । यो रातो सीमानाको साथ यो कालो साड़ी पर्व र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन् ।
nepali_dresses_augmented/haku_patasi/102_aug1.jpg,"A group of women in red and white sars are dancing with their hands up to the camera - stock. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",नेपालको नेवार समुदायको परम्परागत पोशाक हकु पाटसी हो । रातो र सेतो सरस लगाएका महिलाहरूको समूहले क्यामेरा स्टकमा हात राखेर नाच्दैछन् । यो रातो सीमानाको साथ यो कालो साड़ी पर्व र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन् ।
nepali_dresses_augmented/haku_patasi/102_aug2.jpg,"A group of women in red and white sars are dancing with their hands up to the camera - stock. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",नेपालको नेवार समुदायको परम्परागत पोशाक हकु पाटसी हो । रातो र सेतो सरस लगाएका महिलाहरूको समूहले क्यामेरा स्टकमा हात राखेर नाच्दैछन् । यो रातो सीमानाको साथ यो कालो साड़ी पर्व र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन् ।
nepali_dresses_augmented/haku_patasi/103.jpg,"A group of women dressed in traditional clothing and holding cups - stock image. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",परम्परागत कपडा लगाएका महिलाहरूको समूह - स्टक छवि। यो नेपालको नेवार समुदायको परम्परागत पोशाक हकु पातासी हो। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।
nepali_dresses_augmented/haku_patasi/103_aug1.jpg,"A group of women dressed in traditional clothing and holding cups - stock image. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",परम्परागत कपडा लगाएका महिलाहरूको समूह - स्टक छवि। यो नेपालको नेवार समुदायको परम्परागत पोशाक हकु पातासी हो। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।
nepali_dresses_augmented/haku_patasi/103_aug2.jpg,"A group of women dressed in traditional clothing and holding cups - stock image. This is the Haku Patasi, the traditional attire of the Newar community of Nepal. This black sari with a red border is worn by Newari women during festivals and cultural events.",परम्परागत कपडा लगाएका महिलाहरूको समूह - स्टक छवि। यो नेपालको नेवार समुदायको परम्परागत पोशाक हकु पातासी हो। यो रातो सिमानाको साथ कालो साड़ी फेस्टिवल र सांस्कृतिक कार्यक्रमहरूमा नेवारी महिलाहरूले लगाउँछन्।
